"","V1","V2","V3","V4"
"1",0.191067358660042,0.18646583448334,0.19506104173934,0.202178808867046
"2",0.141506538243174,0.137954249955927,0.14113865165443,0.145544950530602
"3",0.114006903304073,0.116751940813677,0.115020423412456,0.12076871567773
"4",0.100106764180192,0.100824006780225,0.101510636266253,0.107449167424614
"5",0.0915856157424192,0.0913634525257514,0.0898560083153166,0.0959787668153292
"6",0.0821368748201599,0.0812246325353774,0.0818064853835053,0.0864708069712745
"7",0.075284099802673,0.0757997056770315,0.0766410802037647,0.0814776298154757
"8",0.0713066408564528,0.0711533403137851,0.0705600822086775,0.0749298333163733
"9",0.0659662736657368,0.0688790726678871,0.0650700298831121,0.0724479673032883
"10",0.0640631381240042,0.0643784619635032,0.0643529967850325,0.0671346957838921
