"","V1","V2","V3","V4"
"1",0.192876463379046,0.19208812753975,0.187113062485805,0.199558024345877
"2",0.143976000843642,0.142291979604863,0.137635626231104,0.145823326484448
"3",0.12064325020997,0.11804475976274,0.112460976949671,0.123016663314574
"4",0.101037537416684,0.101212223312872,0.0979749348164702,0.106155052108394
"5",0.092009517158368,0.0918954752669656,0.0914795908185111,0.0994260282099704
"6",0.0832956553448243,0.0832433799862176,0.0831732638633719,0.0895174044165989
"7",0.0798914094126116,0.0782610003286727,0.0780390334804792,0.0849926955189823
"8",0.075574673816128,0.0734350382256602,0.0753322794962362,0.0821059756224827
"9",0.0703011130528499,0.0691586152845075,0.0730710910681607,0.0782333060765633
"10",0.0651008424395656,0.0639664478202572,0.0707640862166883,0.0740599942107663
